complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
35012,3,3,14114,16917,1440,1467,5581,5699,31321566,60
25514,3,3,12919,16202,1407,1414,4846,5292,31321566,60
23261,3,3,11622,13028,1416,1454,2919,3388,31321566,60
22458,3,3,11885,13772,1340,1451,3551,3756,31321566,60
22548,3,3,11743,13531,1405,1418,3098,3581,31321566,60
24572,3,3,12393,15519,1341,1429,5143,5483,31321566,60
22645,3,3,11243,13552,1355,1436,4421,4542,31321566,60
25507,3,3,12779,16129,1549,1764,4442,4715,31321566,60
22411,3,3,11835,13555,1356,1452,3147,3645,31321566,60
24633,3,3,12695,15563,1369,1410,4287,4632,31321566,60
22835,3,3,11951,14265,1355,1453,3724,3849,31321566,60
22836,3,3,11894,14236,1364,1452,4782,5311,31321566,60
24325,3,3,12920,16316,1407,1422,4622,4708,31321566,60
22727,3,3,11931,13958,1347,1454,3607,3776,31321566,60
24646,3,3,12456,16031,1433,1474,5681,5785,31321566,60
27339,3,3,14259,17372,1408,1431,3231,3430,31321566,60
23479,3,3,12031,14344,1360,1450,3877,4376,31321566,60
22057,3,3,11461,13445,1413,1430,4381,4541,31321566,60
24365,3,3,12792,15622,1423,1445,5145,5419,31321566,60
24679,3,3,13816,16100,1431,1440,4722,4764,31321566,60
