complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
86601,144,151,62912,69813,2334,3597,8175,15457,180006827,120
41512,144,151,19472,27798,2264,3609,7733,13051,180006827,120
77216,144,151,26555,66648,2344,3309,46289,52874,180006827,120
38353,144,151,19174,25866,2061,3098,7072,12253,180006827,120
39539,144,151,18180,25304,2033,2951,6388,10516,180006827,120
38929,144,151,18154,24728,2023,3042,5977,10799,180006827,120
40344,144,151,17917,25721,2043,3315,6510,10816,180006827,120
39563,144,151,19498,25263,1952,3162,6118,10547,180006827,120
43131,144,151,18774,25542,5025,10756,6479,11612,180006827,120
41250,144,151,19058,24664,2099,3241,5924,9958,180006827,120
38458,144,151,18191,24586,1995,3387,6269,10781,180006827,120
36687,144,151,17579,22209,1647,2946,4764,7464,180006827,120
79451,144,151,26432,69249,2345,2901,48604,55446,180006827,120
38539,144,151,17868,23549,1786,3019,5478,8693,180006827,120
39094,144,151,18486,25530,2101,3337,6823,11506,180006827,120
37628,144,151,18523,24669,2145,3213,6385,10953,180006827,120
38374,144,151,18899,24061,1868,3249,5739,9250,180006827,120
38900,144,151,18398,24838,2154,3717,6335,10952,180006827,120
46079,144,151,19044,27159,3472,11275,7664,13484,180006827,120
44663,144,151,21712,33672,2381,3113,11427,16765,180006827,120
