complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
289012,381,400,50353,84920,2126,3471,28165,175258,720007118,80
136870,381,400,15845,38945,2189,4022,15915,78810,720007118,80
193176,381,400,19533,59492,2350,3673,29158,131327,720007118,80
169786,381,400,19511,65533,2374,3889,22922,110461,720007118,80
207019,381,400,16220,34687,2091,3337,36005,144938,720007118,80
187845,381,400,16122,33535,2188,3440,30583,126890,720007118,80
237639,381,400,20175,82987,2305,3744,40906,176851,720007118,80
121078,381,400,15720,33472,2307,3549,12151,62588,720007118,80
131301,381,400,15459,32890,2462,10054,10600,61595,720007118,80
297786,381,400,29244,83216,2345,3762,50816,231280,720007118,80
224060,381,400,26898,85642,2197,3838,30690,163627,720007118,80
240771,381,400,29508,81119,2185,3524,33134,175024,720007118,80
142020,381,400,16037,31269,2231,4748,17258,82217,720007118,80
232749,381,400,21102,81215,2266,3919,39446,166964,720007118,80
242918,381,400,23258,85684,2300,3584,39756,180785,720007118,80
163070,381,400,16602,32940,2246,3615,23233,103892,720007118,80
192534,381,400,21069,56532,2302,3702,27595,132374,720007118,80
163521,381,400,20123,69440,2201,3789,19898,99461,720007118,80
192826,381,400,15549,33727,2072,3386,32434,136141,720007118,80
181785,381,400,19219,52320,2036,3236,24704,124590,720007118,80
