complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
79482,3,3,49008,60811,7368,7594,36132,36323,31321566,120
77189,3,3,47235,59517,7176,7391,36075,36111,31321566,120
79274,3,3,49321,62462,7328,7853,37650,38029,31321566,120
82701,3,3,51147,65407,7481,8098,39644,39940,31321566,120
78731,3,3,49272,61746,7223,7585,35425,35497,31321566,120
78194,3,3,49293,61712,7329,7507,33693,34113,31321566,120
79887,3,3,48312,64349,7189,7329,34779,35228,31321566,120
74405,3,3,47002,58117,7162,7233,31061,31460,31321566,120
80881,3,3,48259,64011,7160,7247,40017,40031,31321566,120
76495,3,3,47848,59153,7450,8176,31545,31906,31321566,120
80946,3,3,49408,63971,7098,7172,38217,38335,31321566,120
86769,3,3,51822,68683,7300,7607,45018,45076,31321566,120
82579,3,3,51070,64462,7346,7892,39174,39237,31321566,120
74572,3,3,47195,58890,7034,7250,33963,34151,31321566,120
77393,3,3,47964,60930,7140,7492,35809,35955,31321566,120
78950,3,3,47609,62047,7163,7495,37236,37300,31321566,120
76748,3,3,47580,58721,7438,7985,32953,33071,31321566,120
75598,3,3,48002,60072,7116,7243,35012,35428,31321566,120
79739,3,3,48747,61476,7210,7623,37684,37802,31321566,120
80317,3,3,49492,63955,6995,7125,35973,36360,31321566,120
