complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
80768,4,4,57089,62128,8578,9652,12633,12794,48547566,100
83311,4,4,58496,66219,8369,9103,19181,19689,48547566,100
80466,4,4,55382,61736,8220,8588,18130,18385,48547566,100
88306,4,4,58282,69278,8025,8260,21414,21737,48547566,100
79682,4,4,55944,61874,8236,8813,21659,21915,48547566,100
80399,4,4,55687,61278,8239,8723,20856,20978,48547566,100
81404,4,4,54745,62932,8004,8160,22326,22554,48547566,100
77089,4,4,54194,58326,8408,9047,14184,14259,48547566,100
82426,4,4,58483,65543,8165,8278,19388,19836,48547566,100
82958,4,4,57777,65019,8440,9190,20345,20772,48547566,100
82459,4,4,58243,64150,8253,8654,18991,19270,48547566,100
82270,4,4,57020,65082,8194,8663,20649,20901,48547566,100
83062,4,4,56453,62322,8260,9259,21307,21445,48547566,100
85156,4,4,55262,67151,8066,8365,25933,26204,48547566,100
90138,4,4,57938,71571,8027,8200,27923,28018,48547566,100
84745,4,4,56042,65929,8333,8998,20387,20501,48547566,100
77107,4,4,55138,59437,8129,8445,16211,16575,48547566,100
89165,4,4,60193,71415,8106,8230,24643,25112,48547566,100
79943,4,4,55506,62415,8180,8622,15554,16187,48547566,100
86380,4,4,57118,69395,8233,8958,28012,28699,48547566,100
