complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
150958,144,151,62458,90652,2062,3255,16744,53708,180006827,60
68192,144,151,19540,32235,2117,3332,10371,33110,180006827,60
76461,144,151,20818,32967,2078,3053,13430,39469,180006827,60
68250,144,151,19466,31318,2038,3186,10657,33850,180006827,60
125029,144,151,20084,33045,1985,3018,36690,78762,180006827,60
111661,144,151,29236,77663,2043,3339,25540,74390,180006827,60
83789,144,151,21039,31810,2063,3307,17618,47928,180006827,60
66802,144,151,20190,32532,2128,3514,8899,30584,180006827,60
69003,144,151,19443,29769,2187,3394,10735,33939,180006827,60
74965,144,151,20260,32051,2754,10121,9460,30776,180006827,60
66802,144,151,20616,31991,2092,3211,9096,27661,180006827,60
70699,144,151,19827,31195,2093,3523,11114,35900,180006827,60
68647,144,151,18816,30013,2061,3145,10931,35126,180006827,60
70418,144,151,20525,40153,2032,3292,10764,34517,180006827,60
65387,144,151,19156,30342,2093,3227,8954,30589,180006827,60
73730,144,151,20084,31767,2146,3062,13433,39460,180006827,60
83568,144,151,20095,33159,8363,18487,10956,34309,180006827,60
74421,144,151,22062,33993,2013,3163,11041,35711,180006827,60
68661,144,151,20994,32127,2154,3261,9480,30597,180006827,60
68888,144,151,19018,30252,2047,3476,10585,34230,180006827,60
