Application class: R4
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
150177,288,302,26809,88307,3034,4661,36186,105867,920625,1111218,1,250,100
147581,288,302,18251,33513,2760,4174,43003,106611,920625,1111218,1,250,100
116318,288,302,19457,33789,2854,4308,27009,73776,920625,1111218,1,250,100
94986,288,302,17451,31653,3737,11940,16476,51575,920625,1111218,1,250,100
94548,288,302,18197,33188,2879,4429,16997,52817,920625,1111218,1,250,100
99891,288,302,19230,36094,2970,4858,18863,58811,920625,1111218,1,250,100
190942,288,302,19072,35197,2832,4220,63311,148219,920625,1111218,1,250,100
172302,288,302,18013,31386,3095,4851,54640,129155,920625,1111218,1,250,100
92483,288,302,18200,31277,2903,4528,16710,52912,920625,1111218,1,250,100
141808,288,302,23824,77886,2861,4531,34588,98147,920625,1111218,1,250,100
84455,288,302,17919,32414,3013,4611,12814,44085,920625,1111218,1,250,100
95614,288,302,18467,32574,2858,4456,17355,54467,920625,1111218,1,250,100
167060,288,302,19162,35595,2741,4139,51333,123079,920625,1111218,1,250,100
167410,288,302,18269,32423,2904,4237,52373,124320,920625,1111218,1,250,100
150130,288,302,17512,37415,2768,4046,45145,110382,920625,1111218,1,250,100
230622,288,302,54379,90677,2854,4420,48799,128552,920625,1111218,1,250,100
146422,288,302,17849,33746,3621,11526,41275,102549,920625,1111218,1,250,100
145804,288,302,18506,36185,2877,4418,41888,104285,920625,1111218,1,250,100
125103,288,302,19499,35530,2996,5135,30464,83379,920625,1111218,1,250,100
151107,288,302,18231,32128,3450,11136,41505,103272,920625,1111218,1,250,100

