Application class: R5
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
22520,3,3,11335,13869,1429,1445,4429,4507,150,150,1,750,120
25183,3,3,12779,16218,1433,1455,5790,6169,150,150,1,750,120
26030,3,3,13539,16613,1455,1472,6391,6530,150,150,1,750,120
25151,3,3,13128,16393,1571,1834,4875,5262,150,150,1,750,120
25251,3,3,13342,16168,1433,1461,7037,7243,150,150,1,750,120
22406,3,3,11688,13616,1423,1437,3593,3783,150,150,1,750,120
24555,3,3,13462,15459,1453,1484,4154,4574,150,150,1,750,120
24636,3,3,12952,16113,1430,1432,5526,5718,150,150,1,750,120
23113,3,3,11912,13913,1411,1437,3497,3766,150,150,1,750,120
24829,3,3,13507,15902,1435,1452,5572,5776,150,150,1,750,120
23085,3,3,12321,14563,1424,1432,4101,4319,150,150,1,750,120
25467,3,3,13900,16362,1446,1456,4930,5325,150,150,1,750,120
24804,3,3,13722,15997,1418,1419,4584,4786,150,150,1,750,120
25351,3,3,13511,16181,1440,1451,6095,6291,150,150,1,750,120
23274,3,3,11927,14372,1353,1436,5322,5411,150,150,1,750,120
32831,3,3,12853,16463,5691,8817,6168,6489,150,150,1,750,120
22943,3,3,12153,14907,1332,1419,4205,4278,150,150,1,750,120
25709,3,3,13735,16496,1437,1452,5901,6315,150,150,1,750,120
22640,3,3,11628,13575,1428,1443,4405,4588,150,150,1,750,120
27877,3,3,11539,13259,1313,1414,3677,5253,150,150,1,750,120

