Application class: R3
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
631326,1148,1009,43949,87534,2710,4842,35080,463738,10785,63140,1,750,120
636937,1148,1009,40516,82964,2671,4854,38626,472174,10785,63140,1,750,120
634264,1148,1009,44597,87791,2832,4964,35024,465710,10785,63140,1,750,120
601427,1148,1009,36617,86303,3069,12507,36279,428560,10785,63140,1,750,120
637050,1148,1009,43382,82818,2781,7959,37056,470221,10785,63140,1,750,120
831888,1148,1009,46256,82577,2539,4878,59748,665864,10785,63140,1,750,120
613802,1148,1009,38009,83350,2679,4323,38748,492435,10785,63140,1,750,120
657445,1148,1009,44095,89755,3278,12306,37638,477190,10785,63140,1,750,120
700190,1148,1009,40890,87128,2604,5463,47903,552936,10785,63140,1,750,120
723818,1148,1009,42566,86261,2751,4539,49681,556822,10785,63140,1,750,120
650443,1148,1009,39350,85272,2663,4710,42093,491316,10785,63140,1,750,120
609242,1148,1009,42876,87124,2796,6122,33384,441099,10785,63140,1,750,120
692900,1148,1009,44257,87740,2678,4418,43407,523424,10785,63140,1,750,120
620979,1148,1009,41998,82573,2834,5496,35674,454936,10785,63140,1,750,120
643300,1148,1009,42809,87522,2713,4908,38093,472858,10785,63140,1,750,120
639655,1148,1009,44629,87106,2797,4772,36129,470047,10785,63140,1,750,120
641129,1148,1009,43726,89832,2737,4772,36924,470404,10785,63140,1,750,120
632600,1148,1009,43899,81005,2960,11604,35331,462741,10785,63140,1,750,120
644508,1148,1009,43059,96530,3087,11899,36195,460661,10785,63140,1,750,120
781392,1148,1009,42933,85089,2721,4448,57649,620197,10785,63140,1,750,120

