complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
265721,434,455,50891,86803,1864,4421,27677,152093,540010211,100
130677,434,455,16069,34857,1869,3609,17769,79101,540010211,100
242548,434,455,34566,84888,2015,3613,36982,183481,540010211,100
252435,434,455,32801,82481,1715,3071,40555,197199,540010211,100
115412,434,455,16676,36983,1861,3410,11913,59035,540010211,100
188494,434,455,16082,33314,1738,2940,35891,136238,540010211,100
234920,434,455,27692,88416,1765,2940,39478,180502,540010211,100
249919,434,455,19838,81074,1808,2735,52158,193701,540010211,100
228554,434,455,24612,82128,2986,11470,38428,169485,540010211,100
187180,434,455,16022,31809,1784,2877,36343,135162,540010211,100
154318,434,455,15630,30972,1899,3617,24956,102497,540010211,100
239196,434,455,30101,83486,1849,3218,39320,181717,540010211,100
156117,434,455,17369,64199,1864,3044,25005,105946,540010211,100
194450,434,455,16672,33038,1845,3424,37909,142446,540010211,100
248257,434,455,30948,85060,1823,3066,41581,192987,540010211,100
154650,434,455,17575,40319,1806,2691,24495,103518,540010211,100
240351,434,455,23848,85559,1790,2982,45067,186669,540010211,100
208753,434,455,24845,85959,1777,2996,33190,155224,540010211,100
135292,434,455,17050,32893,1843,3275,18186,82128,540010211,100
243385,434,455,35634,85198,1873,3279,35011,186550,540010211,100
