Application class: R5
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
21603,2,2,10919,13210,1298,1437,2806,2897,122,144,1,500,60
24272,2,2,10949,13133,1308,1443,2734,2879,122,144,1,500,60
22713,2,2,11477,14326,1562,1654,3672,3771,122,144,1,500,60
21575,2,2,10737,13100,1165,1168,2655,2687,122,144,1,500,60
22617,2,2,10745,13766,1298,1406,4647,4741,122,144,1,500,60
22629,2,2,11816,14514,1294,1403,3074,3265,122,144,1,500,60
23744,2,2,11710,14860,1323,1458,4669,4776,122,144,1,500,60
21952,2,2,10640,13341,1163,1164,3012,3332,122,144,1,500,60
23450,2,2,11211,13389,1409,1418,3103,3350,122,144,1,500,60
22699,2,2,10914,13538,1426,1439,3194,3494,122,144,1,500,60
22586,2,2,10377,13680,1420,1421,4619,4775,122,144,1,500,60
22792,2,2,10780,13774,1307,1448,4612,4758,122,144,1,500,60
25823,2,2,12675,16037,1514,1589,4960,5070,122,144,1,500,60
23017,2,2,11133,13637,1283,1398,3600,3763,122,144,1,500,60
22333,2,2,10994,13378,1321,1438,3119,3373,122,144,1,500,60
32695,2,2,12260,15326,5853,10282,3716,3785,122,144,1,500,60
23680,2,2,11908,15307,1295,1416,4648,4828,122,144,1,500,60
22738,2,2,11192,13694,1442,1458,3241,3513,122,144,1,500,60
23898,2,2,12058,15516,1423,1426,4746,4794,122,144,1,500,60
26902,2,2,13852,14140,1420,1424,2876,2909,122,144,1,500,60

