Application class: R2
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
81900,3,3,50661,65912,7271,7544,40342,40465,241637375,241656733,1,750,80
80559,3,3,47936,63581,7312,7587,37934,38222,241637375,241656733,1,750,80
80871,3,3,49639,64560,7115,7143,39005,39483,241637375,241656733,1,750,80
76457,3,3,47011,60126,7099,7204,36579,36703,241637375,241656733,1,750,80
77956,3,3,48299,60969,7136,7370,35684,35726,241637375,241656733,1,750,80
82386,3,3,49243,66101,7136,7247,39666,39875,241637375,241656733,1,750,80
79932,3,3,48866,61849,7578,8177,36723,36937,241637375,241656733,1,750,80
73817,3,3,46627,57215,6998,7009,29857,30124,241637375,241656733,1,750,80
73415,3,3,46212,57955,7154,7312,31838,32228,241637375,241656733,1,750,80
75490,3,3,46869,58879,7172,7308,32604,33190,241637375,241656733,1,750,80
79111,3,3,48430,62801,7320,7455,36943,37353,241637375,241656733,1,750,80
75437,3,3,46488,58815,7202,7361,35126,35691,241637375,241656733,1,750,80
82525,3,3,50501,66367,7181,7299,37866,38515,241637375,241656733,1,750,80
73872,3,3,45472,57117,7224,7370,33468,33895,241637375,241656733,1,750,80
75884,3,3,47661,60161,7024,7125,32522,33079,241637375,241656733,1,750,80
79065,3,3,48628,61592,7223,7251,37409,37521,241637375,241656733,1,750,80
79874,3,3,49007,62922,7181,7254,35688,35946,241637375,241656733,1,750,80
78087,3,3,49020,62412,7012,7145,36365,36674,241637375,241656733,1,750,80
77055,3,3,46961,61301,7087,7124,35504,35636,241637375,241656733,1,750,80
77911,3,3,49389,61957,7287,7599,37070,37497,241637375,241656733,1,750,80

