Application class: R4
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
959871,1183,1009,43291,88476,7766,12347,50186,596741,42164855,42495481,1,1000,80
968658,1183,1009,42851,86776,8002,12210,50731,611289,42164855,42495481,1,1000,80
950270,1183,1009,42424,85159,7934,16895,49269,598779,42164855,42495481,1,1000,80
951012,1183,1009,42431,90046,7888,11499,49903,589595,42164855,42495481,1,1000,80
975537,1183,1009,43474,92364,7808,13036,51261,621190,42164855,42495481,1,1000,80
969500,1183,1009,43081,88094,7880,12257,50781,604944,42164855,42495481,1,1000,80
936542,1183,1009,41670,87931,7968,13599,48707,586019,42164855,42495481,1,1000,80
961678,1183,1009,41978,87746,7713,16282,51691,596000,42164855,42495481,1,1000,80
956760,1183,1009,42898,87559,7786,12431,49961,604095,42164855,42495481,1,1000,80
951453,1183,1009,41986,88660,7924,12462,50103,597981,42164855,42495481,1,1000,80
970408,1183,1009,42894,89403,7662,13820,51864,606927,42164855,42495481,1,1000,80
964306,1183,1009,43101,90784,7871,17513,50198,605809,42164855,42495481,1,1000,80
961442,1183,1009,42501,95227,7864,16538,50445,603245,42164855,42495481,1,1000,80
980766,1183,1009,42903,93266,7795,12083,52862,619166,42164855,42495481,1,1000,80
970177,1183,1009,43269,91113,7936,15643,50305,601152,42164855,42495481,1,1000,80
944238,1183,1009,41388,94805,7762,11764,49903,584228,42164855,42495481,1,1000,80
950370,1183,1009,42991,86706,7199,15949,49212,608958,42164855,42495481,1,1000,80
948607,1183,1009,42143,93388,7594,12902,49941,602318,42164855,42495481,1,1000,80
973985,1183,1009,42384,88704,7617,10968,52246,605480,42164855,42495481,1,1000,80
974120,1183,1009,43061,90713,7637,13350,51918,621116,42164855,42495481,1,1000,80

